index,Row,Questions / Types,INFJ,INFP,ENFP,ENFJ,INTJ,INTP,ENTP,ENTJ,ISFJ,ISFP,ESFP,ESFJ,ISTJ,ISTP,ESTP,ESTJ,types,count
260,261,"Are you naturally inclined towards perceiving patterns, connections, or possibilities that others often overlook?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,S/N,8
261,262,Do you often see the potential and possibilities that others tend to overlook?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,S/N,8
263,264,Do you often think about how things could be different in the future?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,S/N,8
264,265,"Do you enjoy discussions or debates that revolve around theories, concepts, or ideas, even if they don't have any bearing on the current reality?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,S/N,8
265,266,Do you often connect unrelated observations or facts to form a bigger picture or concept?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,S/N,8
271,272,Do you often explore various potential outcomes before settling on a decision?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,S/N,8
272,273,Does your thinking process involve creating and considering a multitude of possible scenarios?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,S/N,8
273,274,"Do you frequently get excited about ideas, potentials, or possibilities in conversations or tasks?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,S/N,8
275,276,Do you often perceive patterns or connections between seemingly unrelated information or concepts?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,S/N,8
287,288,Do you enjoy thinking deep thoughts about societal issues and seeking out underlying patterns and meanings?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,S/N,8
300,301,"Are you more comfortable conversing about abstract concepts and personal philosophies rather than concrete, factual topics, and do you find small talk unfulfilling?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,S/N,8
303,304,"Would you say that you frequently seek out new experiences, ideas, or viewpoints different to your own?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,S/N,8
306,307,Do you prefer discussing abstract concepts rather than mundane day-to-day activities?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,S/N,8
313,314,Do you prefer future-oriented discussions or ideation sessions over reminiscing about the past?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,S/N,8
334,335,Do you feel more inspired than drained by spending time thinking about the unknown or the future?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,S/N,8
351,352,Do you enjoy analyzing and refining your mental models?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,S/N,8
359,360,Do you prefer to focus on the big picture and the overall goal?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,S/N,8
364,365,Are you interested in possibilities beyond what is already known?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,S/N,8
366,367,"Are you open-minded, curious, and insightful?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,S/N,8
373,374,Do you have a wide variety of interests?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,S/N,8
385,386,"Are you interested in possibilities beyond what is already obvious, and in the ways these possibilities might affect others?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,S/N,8
387,388,Do you enjoy brainstorming new ideas and pushing for change?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,S/N,8
405,406,Do you enjoy speculative and imaginative activities?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,S/N,8
413,414,Do you prefer to focus on the big picture rather than the details?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,S/N,8
427,428,Are you curious about the world around you and enjoy learning new things?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,S/N,8
459,460,Do you apply your past experiences to your present decisions?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,S/N,8
